Date,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,12,0,0,0,0,10,3,0,0,2,1,0,0,0,0,0,0,0,0
Algeria,0,0,2,1,0,0,0,0,0,0,0,0,15,4,7,0,0,0,0,29,3,17,0,6,7,0,76,97,7,41,17,59,10,76,198,58,22
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,15,23,10,0,18,21,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,3,6,4,15,26,52,18,41,26,0,60,52,18,4,11,28,7
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,118,0,533,62,63,98,0,110,0,93,19,35,3,0,78,0,0,0,0,0,42,11
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,1,0,19,30,8,1,7,1,7,0,16,0,0,0,5,3
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,7,27,17,5,18,16,66,14,2,4,2,30,0,20,0,0,0,1,0
Argentina,0,0,0,29,0,8,1,0,0,0,12,0,611,56,1549,66,832,1059,148,1133,2041,2448,1152,2074,3336,646,1124,258,461,406,730,568,739,375,67,462,254
Armenia,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,24,45,0,0,59,0,0,0,0,51,0,0,0,0,0,1,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,5,0,6,0,8,202,236,296,216,206,104,386,777,355,70,139,144,0,7,10,86,59,85,116,147,56,110,62,91
Australia,1,7,63,1239,341,388,608,4415,4786,2395,1947,394,690,246,229,233,315,365,845,6251,4738,8219,4871,7382,11191,10279,11978,15221,12977,10960,11728,10162,7495,8031,10250,8245,4151
Austria,0,0,0,21,229,174,1,0,0,336,1,0,582,710,688,22070,1493,1120,17143,5878,7720,6053,6380,6669,1813,14562,12737,10893,10932,13514,12572,17922,13954,11744,10907,10007,20086
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,4,0,2,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,40,0,0
Bahrain,0,0,0,0,0,0,37,0,0,0,51,67,0,24,49,68,9,57,246,370,538,838,766,874,912,995,1430,1051,1068,92,278,484,0,0,0,0,0
Bangladesh,0,0,0,0,33,140,194,48,9,116,21,47,254,76,79,454,200,189,189,422,329,196,218,621,506,399,459,1127,592,73,230,21,165,73,133,47,27
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,12,29,9,0,0,23,13,0,0,0,11,15,0,44,28,10,0,12,8
Belarus,0,0,0,2,1,0,0,0,0,0,0,7,25,1,4,2,4,4,1,0,0,0,1,3,109,189,83,90,0,0,0,0,0,0,0,0,0
Belgium,0,1,108,323,84,374,62,29,146,105,328,1378,814,3622,5110,4756,5708,6479,6336,4723,8114,12403,6563,8902,6465,9271,8750,8367,6555,16078,7880,16941,4853,4008,2340,1871,1194
Belize,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,48,0,0,0,126,81,62,0,62,243,0,67,0,0,186,78,0,73,0,0,0
Benin,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,68,0,202,0,0,498,0,17,0,82,0,0,1,388,43,0,0,0,0
